id,t,X,Y
1,0,45.0,95.0
1,1,45.0,91.0
1,2,45.0,87.0
1,3,45.0,83.0
1,4,45.0,79.0
1,5,45.0,75.0
1,6,45.0,71.0
1,7,45.0,67.0
1,8,45.0,63.0
1,9,45.0,59.0
1,10,45.0,55.0
1,11,45.0,51.0
1,12,45.0,47.0
1,13,45.0,43.0
1,14,45.0,39.0
1,15,45.0,35.0
1,16,45.0,31.0
1,17,45.0,27.0
1,18,45.0,23.0
1,19,45.0,19.0
1,20,45.0,15.0
1,21,45.0,11.0
1,22,45.0,7.0
1,23,45.0,3.0
1,24,45.0,-1.0
1,25,45.0,-5.0
1,26,45.0,-9.0
1,27,45.0,-13.0
1,28,45.0,-17.0
1,29,45.0,-21.0
1,30,45.0,-25.0
1,31,45.0,-29.0
1,32,45.0,-33.0
1,33,45.0,-37.0
1,34,45.0,-41.0
1,35,45.0,-45.0
1,36,45.0,-49.0
1,37,45.0,-53.0
1,38,45.0,-57.0
1,39,45.0,-61.0
1,40,45.0,-65.0
1,41,45.0,-69.0
1,42,45.0,-73.0
1,43,45.0,-77.0
1,44,45.0,-81.0
1,45,45.0,-85.0
1,46,45.0,-89.0
1,47,45.0,-93.0
1,48,45.0,-97.0
1,49,45.0,-101.0
1,50,45.0,-105.0
1,51,45.0,-109.0
1,52,45.0,-113.0
1,53,45.0,-117.0
1,54,45.0,-121.0
1,55,45.0,-125.0
1,56,45.0,-129.0
1,57,45.0,-133.0
1,58,45.0,-137.0
1,59,45.0,-141.0
1,60,45.0,-145.0
1,61,45.0,-149.0
1,62,45.0,-153.0
1,63,45.0,-157.0
1,64,45.0,-161.0
1,65,45.0,-165.0
1,66,45.0,-169.0
1,67,45.0,-173.0
1,68,45.0,-177.0
1,69,45.0,-181.0
1,70,45.0,-185.0
1,71,45.0,-189.0
1,72,45.0,-193.0
1,73,45.0,-197.0
1,74,45.0,-201.0
1,75,45.0,-205.0
1,76,45.0,-209.0
1,77,45.0,-213.0
1,78,45.0,-217.0
1,79,45.0,-221.0
1,80,45.0,-225.0
1,81,45.0,-229.0
1,82,45.0,-233.0
1,83,45.0,-237.0
1,84,45.0,-241.0
1,85,45.0,-245.0
1,86,45.0,-249.0
1,87,45.0,-253.0
1,88,45.0,-257.0
1,89,45.0,-261.0
1,90,45.0,-265.0
1,91,45.0,-269.0
1,92,45.0,-273.0
1,93,45.0,-277.0
1,94,45.0,-281.0
1,95,45.0,-285.0
1,96,45.0,-289.0
1,97,45.0,-293.0
1,98,45.0,-297.0
1,99,45.0,-301.0
1,100,45.0,-305.0
1,101,45.0,-309.0
1,102,45.0,-313.0
1,103,45.0,-317.0
1,104,45.0,-321.0
1,105,45.0,-325.0
1,106,45.0,-329.0
1,107,45.0,-333.0
1,108,45.0,-337.0
1,109,45.0,-341.0
1,110,45.0,-345.0
1,111,45.0,-349.0
1,112,45.0,-353.0
1,113,45.0,-357.0
1,114,45.0,-361.0
1,115,45.0,-365.0
1,116,45.0,-369.0
1,117,45.0,-373.0
1,118,45.0,-377.0
1,119,45.0,-381.0
1,120,45.0,-385.0
1,121,45.0,-389.0
1,122,45.0,-393.0
1,123,45.0,-397.0
1,124,45.0,-401.0
1,125,45.0,-405.0
1,126,45.0,-409.0
1,127,45.0,-413.0
1,128,45.0,-417.0
1,129,45.0,-421.0
1,130,45.0,-425.0
1,131,45.0,-429.0
1,132,45.0,-433.0
1,133,45.0,-437.0
1,134,45.0,-441.0
1,135,45.0,-445.0
1,136,45.0,-449.0
1,137,45.0,-453.0
1,138,45.0,-457.0
1,139,45.0,-461.0
1,140,45.0,-465.0
1,141,45.0,-469.0
1,142,45.0,-473.0
1,143,45.0,-477.0
1,144,45.0,-481.0
1,145,45.0,-485.0
1,146,45.0,-489.0
1,147,45.0,-493.0
1,148,45.0,-497.0
1,149,45.0,-501.0
1,150,45.0,-505.0
2,0,5.0,45.0
2,1,9.100000000000001,45.0
2,2,13.200000000000003,45.0
2,3,17.300000000000004,45.0
2,4,21.400000000000006,45.0
2,5,25.500000000000007,45.0
2,6,29.60000000000001,45.0
2,7,33.70000000000001,45.0
2,8,33.70000000000001,45.0
2,9,33.70000000000001,45.0
2,10,33.70000000000001,45.0
2,11,37.80000000000001,45.0
2,12,41.90000000000001,45.0
2,13,46.000000000000014,45.0
2,14,50.100000000000016,45.0
2,15,54.20000000000002,45.0
2,16,58.30000000000002,45.0
2,17,62.40000000000002,45.0
2,18,66.50000000000001,45.0
2,19,70.60000000000001,45.0
2,20,74.7,45.0
2,21,78.8,45.0
2,22,82.89999999999999,45.0
2,23,86.99999999999999,45.0
2,24,91.09999999999998,45.0
2,25,95.19999999999997,45.0
2,26,99.29999999999997,45.0
2,27,103.39999999999996,45.0
2,28,107.49999999999996,45.0
2,29,111.59999999999995,45.0
2,30,115.69999999999995,45.0
2,31,119.79999999999994,45.0
2,32,123.89999999999993,45.0
2,33,127.99999999999993,45.0
2,34,132.09999999999994,45.0
2,35,136.19999999999993,45.0
2,36,140.29999999999993,45.0
2,37,144.39999999999992,45.0
2,38,148.49999999999991,45.0
2,39,152.5999999999999,45.0
2,40,156.6999999999999,45.0
2,41,160.7999999999999,45.0
2,42,164.8999999999999,45.0
2,43,168.9999999999999,45.0
2,44,173.09999999999988,45.0
2,45,177.19999999999987,45.0
2,46,181.29999999999987,45.0
2,47,185.39999999999986,45.0
2,48,189.49999999999986,45.0
2,49,193.59999999999985,45.0
2,50,197.69999999999985,45.0
2,51,201.79999999999984,45.0
2,52,205.89999999999984,45.0
2,53,209.99999999999983,45.0
2,54,214.09999999999982,45.0
2,55,218.19999999999982,45.0
2,56,222.2999999999998,45.0
2,57,226.3999999999998,45.0
2,58,230.4999999999998,45.0
2,59,234.5999999999998,45.0
2,60,238.6999999999998,45.0
2,61,242.79999999999978,45.0
2,62,246.89999999999978,45.0
2,63,250.99999999999977,45.0
2,64,255.09999999999977,45.0
2,65,259.19999999999976,45.0
2,66,263.2999999999998,45.0
2,67,267.3999999999998,45.0
2,68,271.49999999999983,45.0
2,69,275.59999999999985,45.0
2,70,279.6999999999999,45.0
2,71,283.7999999999999,45.0
2,72,287.8999999999999,45.0
2,73,291.99999999999994,45.0
2,74,296.09999999999997,45.0
2,75,300.2,45.0
2,76,304.3,45.0
2,77,308.40000000000003,45.0
2,78,312.50000000000006,45.0
2,79,316.6000000000001,45.0
2,80,320.7000000000001,45.0
2,81,324.8000000000001,45.0
2,82,328.90000000000015,45.0
2,83,333.00000000000017,45.0
2,84,337.1000000000002,45.0
2,85,341.2000000000002,45.0
2,86,345.30000000000024,45.0
2,87,349.40000000000026,45.0
2,88,353.5000000000003,45.0
2,89,357.6000000000003,45.0
2,90,361.70000000000033,45.0
2,91,365.80000000000035,45.0
2,92,369.9000000000004,45.0
2,93,374.0000000000004,45.0
2,94,378.1000000000004,45.0
2,95,382.20000000000044,45.0
2,96,386.30000000000047,45.0
2,97,390.4000000000005,45.0
2,98,394.5000000000005,45.0
